PRINCIPLE COMMODITY,COUNTRY,UNIT,QUANTITY,VALUE(US$ MILLION)
TEA                                               ,BRAZIL,TONS,3.116,0.11
TEA                                               ,CANADA,TONS,2820.125,15.28
TEA                                               ,CHINA,TONS,5380.263,12.6
TEA                                               ,FRANCE,TONS,329.473,2.63
TEA                                               ,GERMANY,TONS,8521.75,35.34
TEA                                               ,ITALY,TONS,1580.455,10.7
TEA                                               ,JAPAN,TONS,3076.756,20.51
TEA                                               ,SOUTH KOREA,TONS,312.74,4.04
TEA                                               ,RUSSIA,TONS,45065.478,91.72
TEA                                               ,UK,TONS,11897.809,44.26
TEA                                               ,USA,TONS,13834.059,71.14
COFFEE                                            ,BRAZIL,TONS,10.175,0.5
COFFEE                                            ,CANADA,TONS,969.435,3.72
COFFEE                                            ,CHINA,TONS,290.715,1.67
COFFEE                                            ,FRANCE,TONS,2301.631,8.62
COFFEE                                            ,GERMANY,TONS,41147.978,122.5
COFFEE                                            ,ITALY,TONS,58038.764,148.76
COFFEE                                            ,JAPAN,TONS,488.383,3.99
COFFEE                                            ,SOUTH KOREA,TONS,5382.501,16.72
COFFEE                                            ,RUSSIA,TONS,16632.003,104.71
COFFEE                                            ,UK,TONS,3406.481,20.12
COFFEE                                            ,USA,TONS,6380.694,60.7
RICE BASMOTI                                      ,BRAZIL,TONS,34.0,0.03
RICE BASMOTI                                      ,CANADA,TONS,63288.0,74.4
RICE BASMOTI                                      ,CHINA,TONS,1131.0,1.28
RICE BASMOTI                                      ,FRANCE,TONS,7571.0,8.81
RICE BASMOTI                                      ,GERMANY,TONS,9677.0,12.76
RICE BASMOTI                                      ,ITALY,TONS,26388.0,29.31
RICE BASMOTI                                      ,JAPAN,TONS,1941.0,2.51
RICE BASMOTI                                      ,SOUTH KOREA,TONS,812.0,0.87
RICE BASMOTI                                      ,RUSSIA,TONS,11382.0,12.44
RICE BASMOTI                                      ,UK,TONS,143685.0,137.26
RICE BASMOTI                                      ,USA,TONS,204027.0,239.32
RICE(OTHER THAN BASMOTI)                          ,BRAZIL,TONS,12.0,0.01
RICE(OTHER THAN BASMOTI)                          ,CANADA,TONS,11135.0,8.34
RICE(OTHER THAN BASMOTI)                          ,CHINA,TONS,1504201.0,494.96
RICE(OTHER THAN BASMOTI)                          ,FRANCE,TONS,1367.0,0.99
RICE(OTHER THAN BASMOTI)                          ,GERMANY,TONS,2539.0,1.98
RICE(OTHER THAN BASMOTI)                          ,ITALY,TONS,4611.0,2.87
RICE(OTHER THAN BASMOTI)                          ,JAPAN,TONS,173.0,0.16
RICE(OTHER THAN BASMOTI)                          ,SOUTH KOREA,TONS,138.0,0.14
RICE(OTHER THAN BASMOTI)                          ,RUSSIA,TONS,124979.0,48.9
RICE(OTHER THAN BASMOTI)                          ,UK,TONS,28230.0,18.14
RICE(OTHER THAN BASMOTI)                          ,USA,TONS,53171.0,40.67
OTHER CEREALS                                     ,BRAZIL,TONS,8.0,0.03
OTHER CEREALS                                     ,CANADA,TONS,956.0,0.9
OTHER CEREALS                                     ,CHINA,TONS,106.0,0.04
OTHER CEREALS                                     ,FRANCE,TONS,97.0,0.06
OTHER CEREALS                                     ,GERMANY,TONS,2011.0,2.88
OTHER CEREALS                                     ,ITALY,TONS,958.0,1.11
OTHER CEREALS                                     ,JAPAN,TONS,12146.0,5.71
OTHER CEREALS                                     ,SOUTH KOREA,TONS,1302.0,0.68
OTHER CEREALS                                     ,RUSSIA,TONS,400.0,0.63
OTHER CEREALS                                     ,UK,TONS,2275.0,1.33
OTHER CEREALS                                     ,USA,TONS,2174.0,3.25
TOBACCO UNMANUFACTURED                            ,BRAZIL,TONS,620.624,1.55
TOBACCO UNMANUFACTURED                            ,CANADA,TONS,224.73,1.03
TOBACCO UNMANUFACTURED                            ,CHINA,TONS,5.184,0.01
TOBACCO UNMANUFACTURED                            ,FRANCE,TONS,6613.5,24.34
TOBACCO UNMANUFACTURED                            ,GERMANY,TONS,3684.627,11.32
TOBACCO UNMANUFACTURED                            ,ITALY,TONS,1214.34,2.72
TOBACCO UNMANUFACTURED                            ,JAPAN,TONS,0.0,0.0
TOBACCO UNMANUFACTURED                            ,SOUTH KOREA,TONS,9628.26,37.23
TOBACCO UNMANUFACTURED                            ,RUSSIA,TONS,18422.767,68.73
TOBACCO UNMANUFACTURED                            ,UK,TONS,49.955,0.35
TOBACCO UNMANUFACTURED                            ,USA,TONS,7943.674,12.16
SPICES                                            ,BRAZIL,TONS,12970.419,34.12
SPICES                                            ,CANADA,TONS,11425.796,50.66
SPICES                                            ,CHINA,TONS,256797.999,793.41
SPICES                                            ,FRANCE,TONS,4300.807,40.18
SPICES                                            ,GERMANY,TONS,14308.166,89.33
SPICES                                            ,ITALY,TONS,3571.615,15.56
SPICES                                            ,JAPAN,TONS,10497.879,46.04
SPICES                                            ,SOUTH KOREA,TONS,3856.011,39.9
SPICES                                            ,RUSSIA,TONS,8951.253,24.52
SPICES                                            ,UK,TONS,25165.444,98.97
SPICES                                            ,USA,TONS,82205.726,523.28
CASHEW                                            ,CANADA,TONS,17.0,0.14
CASHEW                                            ,CHINA,TONS,0.0,0.0
CASHEW                                            ,FRANCE,TONS,0.0,0.01
CASHEW                                            ,GERMANY,TONS,977.0,8.17
CASHEW                                            ,ITALY,TONS,62.0,0.32
CASHEW                                            ,JAPAN,TONS,4609.0,35.99
CASHEW                                            ,SOUTH KOREA,TONS,146.0,1.12
CASHEW                                            ,RUSSIA,TONS,0.0,0.0
CASHEW                                            ,UK,TONS,255.0,2.29
CASHEW                                            ,USA,TONS,1048.0,8.1
OIL MEALS                                         ,BRAZIL,TONS,72.0,0.04
OIL MEALS                                         ,CANADA,TONS,8931.0,8.18
OIL MEALS                                         ,CHINA,TONS,40471.0,21.76
OIL MEALS                                         ,FRANCE,TONS,13343.0,10.22
OIL MEALS                                         ,GERMANY,TONS,16425.0,9.47
OIL MEALS                                         ,ITALY,TONS,602.0,0.22
OIL MEALS                                         ,JAPAN,TONS,98398.0,59.41
OIL MEALS                                         ,SOUTH KOREA,TONS,782818.0,220.4
OIL MEALS                                         ,RUSSIA,TONS,297.0,0.23
OIL MEALS                                         ,UK,TONS,8581.0,7.57
OIL MEALS                                         ,USA,TONS,91219.0,97.35
GROUNDNUT                                         ,CANADA,TONS,220.0,0.37
GROUNDNUT                                         ,CHINA,TONS,11276.0,13.65
GROUNDNUT                                         ,FRANCE,TONS,0.0,0.0
GROUNDNUT                                         ,GERMANY,TONS,0.0,0.0
GROUNDNUT                                         ,ITALY,TONS,0.0,0.0
GROUNDNUT                                         ,JAPAN,TONS,43.0,0.06
GROUNDNUT                                         ,SOUTH KOREA,TONS,0.0,0.0
GROUNDNUT                                         ,RUSSIA,TONS,8664.0,11.56
GROUNDNUT                                         ,UK,TONS,45.0,0.05
GROUNDNUT                                         ,USA,TONS,3.0,0.01
NIGER SEEDS                                       ,BRAZIL,TONS,0.0,0.0
NIGER SEEDS                                       ,CANADA,TONS,167.908,0.23
NIGER SEEDS                                       ,FRANCE,TONS,0.0,0.0
NIGER SEEDS                                       ,GERMANY,TONS,0.037,0.0
